               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.027824,            0.047739,            0.032258,             0.91298,             0.82646,             0.85603,             0.56323,             0.02397,            0.048652,            0.032178,          0.00052975,          0.00052975,          0.00052975
                  97,            0.027884,             0.04699,            0.032277,             0.89559,             0.81971,             0.84758,             0.55948,            0.024026,            0.049165,            0.032174,           0.0005248,           0.0005248,           0.0005248
                  98,            0.027635,            0.047849,            0.032272,             0.89476,             0.82715,             0.85078,             0.55947,            0.023863,            0.049545,            0.032173,          0.00051985,          0.00051985,          0.00051985
                  99,            0.027381,             0.04678,            0.032273,             0.88283,             0.82487,             0.85225,             0.55907,            0.023737,            0.049323,            0.032172,           0.0005149,           0.0005149,           0.0005149
                 100,            0.027765,            0.047492,            0.032233,             0.88833,             0.82972,             0.85355,             0.56169,            0.023788,            0.049096,            0.032169,          0.00050995,          0.00050995,          0.00050995
                 101,            0.027373,            0.047206,            0.032261,             0.89846,              0.8383,             0.85732,             0.56396,            0.023779,             0.04918,            0.032153,            0.000505,            0.000505,            0.000505
                 102,            0.027435,            0.046963,            0.032244,             0.90379,             0.82479,             0.85156,             0.56481,            0.023757,            0.048873,            0.032187,          0.00050005,          0.00050005,          0.00050005
                 103,            0.027361,            0.046796,             0.03225,             0.89601,              0.8328,             0.85226,             0.56365,            0.023672,            0.049133,            0.032142,           0.0004951,           0.0004951,           0.0004951
                 104,            0.026958,            0.046451,            0.032227,             0.91123,             0.82957,             0.85593,             0.56784,            0.023536,            0.049145,            0.032158,          0.00049015,          0.00049015,          0.00049015
                 105,            0.027224,            0.046771,            0.032216,             0.90105,             0.83733,             0.85569,             0.56839,            0.023483,            0.048887,            0.032145,           0.0004852,           0.0004852,           0.0004852
                 106,            0.027177,            0.046365,            0.032244,             0.89742,             0.82917,             0.85487,             0.57019,             0.02347,            0.049175,            0.032161,          0.00048025,          0.00048025,          0.00048025
                 107,            0.026937,            0.046831,            0.032233,             0.90316,             0.83276,             0.85564,             0.56867,            0.023463,            0.048695,            0.032164,           0.0004753,           0.0004753,           0.0004753
                 108,            0.026979,            0.045943,              0.0322,              0.8972,             0.83481,             0.85884,             0.57237,            0.023313,             0.04871,            0.032133,          0.00047035,          0.00047035,          0.00047035
                 109,            0.026894,            0.045813,            0.032223,              0.9037,             0.83024,             0.86008,             0.57134,            0.023465,            0.048736,            0.032153,           0.0004654,           0.0004654,           0.0004654
                 110,             0.02697,            0.046597,            0.032236,             0.90031,             0.83161,             0.85882,             0.56722,            0.023368,            0.049057,            0.032141,          0.00046045,          0.00046045,          0.00046045
                 111,            0.026621,            0.046061,            0.032252,             0.90083,             0.82904,             0.85604,             0.57318,            0.023276,            0.048954,            0.032148,           0.0004555,           0.0004555,           0.0004555
                 112,            0.026671,            0.045981,            0.032231,             0.90799,             0.83043,             0.86168,             0.57416,             0.02332,            0.048601,            0.032145,          0.00045055,          0.00045055,          0.00045055
                 113,            0.026449,            0.045957,            0.032253,             0.91099,             0.83288,             0.85741,             0.57164,            0.023274,            0.048229,            0.032154,           0.0004456,           0.0004456,           0.0004456
                 114,            0.026658,            0.045615,            0.032208,             0.89974,             0.83614,             0.85825,             0.57352,            0.023327,            0.048299,            0.032142,          0.00044065,          0.00044065,          0.00044065
                 115,            0.026154,            0.045947,              0.0322,             0.89339,             0.84192,              0.8583,             0.57629,            0.023167,            0.048132,            0.032139,           0.0004357,           0.0004357,           0.0004357
                 116,            0.026542,            0.045486,            0.032206,             0.90255,             0.82762,             0.85322,             0.57086,            0.023239,            0.048202,            0.032148,          0.00043075,          0.00043075,          0.00043075
                 117,            0.026583,            0.045891,            0.032179,             0.90525,             0.83349,             0.85949,             0.57534,            0.023176,            0.047747,             0.03214,           0.0004258,           0.0004258,           0.0004258
                 118,            0.026414,            0.045313,            0.032229,             0.90496,             0.83135,             0.85952,             0.57204,            0.023311,            0.048511,            0.032145,          0.00042085,          0.00042085,          0.00042085
                 119,            0.026443,            0.045709,            0.032216,             0.89311,              0.8381,             0.86004,             0.57448,            0.023238,            0.048533,            0.032147,           0.0004159,           0.0004159,           0.0004159
                 120,            0.025826,             0.04506,            0.032214,             0.89922,             0.84035,             0.86073,             0.57824,            0.023145,            0.048455,            0.032127,          0.00041095,          0.00041095,          0.00041095
                 121,            0.026117,            0.046302,            0.032195,             0.90425,             0.83988,             0.85997,             0.57955,            0.023097,            0.048423,             0.03212,            0.000406,            0.000406,            0.000406
                 122,             0.02583,            0.044201,            0.032192,             0.90021,             0.84252,             0.86212,             0.57872,            0.023154,            0.048362,            0.032125,          0.00040105,          0.00040105,          0.00040105
                 123,             0.02617,            0.045397,            0.032205,             0.90224,             0.84194,             0.86212,             0.57854,            0.023096,            0.048259,            0.032134,           0.0003961,           0.0003961,           0.0003961
                 124,            0.026046,            0.045722,            0.032201,             0.90316,             0.84629,             0.86383,             0.58006,            0.022942,            0.048067,            0.032122,          0.00039115,          0.00039115,          0.00039115
                 125,            0.025824,            0.045178,            0.032199,             0.90477,              0.8354,             0.86324,             0.58081,            0.022909,              0.0483,            0.032112,           0.0003862,           0.0003862,           0.0003862
                 126,             0.02637,            0.045544,            0.032201,              0.9041,             0.84245,             0.86514,             0.58119,            0.022855,            0.048198,            0.032114,          0.00038125,          0.00038125,          0.00038125
                 127,            0.026544,            0.045766,            0.032189,             0.90417,             0.84135,             0.86271,             0.58081,            0.022916,            0.048222,            0.032113,           0.0003763,           0.0003763,           0.0003763
                 128,             0.02573,            0.045158,            0.032178,             0.90185,             0.84389,             0.86426,             0.58191,            0.022779,            0.048113,            0.032116,          0.00037135,          0.00037135,          0.00037135
                 129,            0.025474,            0.044222,            0.032154,              0.9084,             0.84187,             0.86453,             0.58152,            0.022836,            0.048282,            0.032117,           0.0003664,           0.0003664,           0.0003664
                 130,            0.025932,            0.045777,            0.032178,             0.90227,             0.83913,             0.86111,             0.58249,            0.022796,            0.048241,            0.032126,          0.00036145,          0.00036145,          0.00036145
                 131,            0.025476,            0.044424,             0.03216,             0.90985,             0.83912,             0.86184,             0.58391,            0.022807,            0.048202,            0.032118,           0.0003565,           0.0003565,           0.0003565
                 132,            0.025777,            0.044309,            0.032182,              0.9044,              0.8446,             0.86177,             0.58456,            0.022761,            0.048234,            0.032117,          0.00035155,          0.00035155,          0.00035155
